wdr,dissim,leven
5,620,15
1037,182,11
642,832,1014
1004,98,96
767,431,647
990,71,135
1044,6,12
66,333,228
794,224,203
1019,14,55
580,386,756
352,211,129
620,469,490
772,168,244
639,461,405
90,379,389
995,263,347
267,855,726
361,619,538
400,769,576
88,936,887
676,403,581
24,157,1046
285,425,650
961,64,278
885,262,280
931,87,113
183,657,865
370,1028,1032
491,456,466
84,998,953
611,622,633
898,103,236
391,228,212
897,141,311
785,282,257
405,122,83
744,713,522
368,918,938
594,534,409
692,159,107
446,170,139
577,458,398
544,139,78
832,145,333
1031,203,19
176,1026,1016
148,669,927
958,283,120
731,313,232
122,1018,967
138,778,731
787,498,268
161,924,1017
628,574,456
394,878,807
294,851,923
290,779,825
778,628,641
840,41,64
822,231,163
877,70,134
376,849,820
106,1019,926
613,501,663
984,105,122
463,330,381
354,585,566
784,980,138
827,104,265
498,714,607
711,715,712
759,745,624
531,765,743
472,690,644
600,721,666
369,944,899
275,724,631
118,942,596
465,913,891
563,784,682
688,173,308
714,382,510
552,990,978
831,257,546
522,286,331
158,72,137
943,327,282
863,550,417
474,847,839
987,489,630
768,652,757
510,346,339
347,707,664
891,11,274
468,162,220
207,886,802
504,922,930
1014,20,72
923,76,191
128,823,858
258,1007,975
1016,223,248
894,276,314
243,271,509
920,93,88
1009,57,75
726,989,936
852,198,233
575,568,574
881,662,225
292,63,37
560,827,751
754,317,259
805,113,109
115,571,390
790,114,117
393,581,617
519,777,893
184,635,480
604,120,106
986,129,95
224,427,44
156,846,883
443,214,188
72,429,603
609,101,123
215,996,873
173,807,732
73,535,401
359,200,151
151,1032,1037
126,812,806
963,629,972
588,603,648
1018,45,190
483,151,210
968,144,91
375,977,1031
102,756,668
489,939,814
424,995,935
174,1010,984
315,987,933
533,702,755
343,481,521
915,307,275
589,513,583
709,845,799
729,314,292
303,663,578
927,445,385
473,960,903
654,806,813
686,474,362
777,365,182
134,516,361
534,594,548
399,413,447
43,682,722
924,88,74
601,768,750
63,817,800
1036,258,5
1015,247,243
823,605,602
380,1044,290
35,401,439
137,968,973
837,407,359
800,46,53
44,1013,929
273,405,672
372,239,256
970,26,854
320,232,171
450,549,651
803,460,441
741,737,692
432,740,501
422,310,355
317,1030,838
617,866,737
969,148,146
806,903,876
670,268,300
94,843,900
996,675,798
167,981,919
581,201,206
91,863,796
720,372,313
1028,32,26
795,533,613
978,332,580
245,538,432
695,290,303
104,970,1042
220,867,857
335,889,946
366,852,809
480,646,547
307,527,681
546,508,254
12,17,69
246,331,277
656,302,353
911,75,121
271,316,310
279,754,591
146,906,915
389,578,792
103,510,305
570,416,363
390,169,99
925,131,124
232,1006,1005
513,710,881
147,674,372
679,353,425
259,698,588
830,383,270
198,786,775
532,250,235
14,949,1001
436,907,765
838,270,890
74,1039,1036
1011,96,86
801,128,125
437,826,850
705,612,527
845,146,102
362,190,365
543,280,226
592,909,937
854,551,565
660,531,465
781,752,752
493,135,195
338,785,882
241,275,391
551,705,658
562,261,239
835,965,911
423,1022,945
817,829,895
912,483,487
1000,390,406
1010,80,143
536,709,516
240,51,52
572,566,492
203,537,855
218,759,680
713,360,299
236,278,325
178,274,271
919,83,219
50,969,963
988,91,84
680,569,446
749,237,175
699,479,623
228,963,931
160,7,328
3,359,36
150,1027,995
948,33,62
449,704,564
916,246,174
622,591,436
412,767,614
289,925,934
89,787,769
55,836,877
861,387,494
722,100,247
747,53,82
326,277,215
92,536,519
329,1014,1000
189,506,450
237,378,217
555,606,559
348,882,997
65,1000,982
262,1003,1024
235,434,532
820,872,1030
872,874,777
1012,293,849
78,870,996
967,59,59
365,1001,907
870,816,790
286,876,776
918,124,104
703,187,342
954,371,246
651,528,351
876,245,276
202,985,999
459,499,539
99,494,394
882,555,438
164,507,419
973,287,711
157,933,844
448,691,706
268,764,688
486,883,879
608,895,665
295,738,804
351,683,793
505,641,892
179,929,1002
112,12,598
1035,8,1003
15,15,505
571,1041,1019
116,935,912
69,34,1048
250,1033,1033
46,931,1039
233,991,1013
19,1045,1047
71,1048,1040
256,1047,1044
