dwr,dissim,leven
-0.1647,0.49524,4.4942
-0.14178,0.13894,-0.3371
-0.12044,0.16569,-0.35924
-0.045786,0.14506,-0.28576
-0.021869,0.23824,-0.011349
-0.16481,0.31321,0.53665
-0.12869,0.15411,-0.37015
-0.22533,0.26372,0.38851
-0.059505,0.027197,-0.70849
-0.17782,0.35118,1.7548
-0.014116,-0.0050326,-0.64526
-0.16382,0.28752,0.71165
1.427,-2.7693,-0.89085
-0.18337,0.23598,0.0099881
-0.13637,0.10681,-0.11417
-0.23612,0.41112,2.091
-0.13645,0.20767,-0.0064251
-0.10566,0.34526,1.2101
-0.21311,0.25733,-0.17297
-0.18416,0.25214,0.98923
0.034203,-0.11702,-0.71421
-0.042865,-0.075048,-0.76241
4.714,-8.1127,-0.58093
-0.10515,0.2599,0.10281
-0.077282,0.12708,-0.37501
-0.16232,0.10433,-0.44495
0.84111,-8.4067,-0.99436
-0.073642,0.10123,-0.45815
-0.15567,0.31549,0.47422
-0.17379,0.35959,0.65578
-0.21012,0.19885,-0.36147
-0.21042,0.20476,0.30513
-0.1884,0.35239,2.2551
-0.19437,0.33782,0.23069
-0.15949,0.13718,-0.24797
-0.19372,0.33679,0.43885
-0.15859,0.14891,0.16493
-0.070303,0.20366,-0.29215
-0.17965,0.2035,-0.18104
-0.15391,0.079593,-0.52674
-0.12014,0.13218,0.59102
-0.097033,0.32094,0.46418
-0.085976,-0.058079,-0.71076
-0.22896,0.1807,-0.1352
-0.18317,0.11398,-0.3288
-0.19522,0.15216,-0.29653
-0.09081,0.2888,0.32914
-0.20482,0.18123,1.348
-0.025275,0.15441,-0.34797
-0.072993,0.060725,-0.35345
-0.10288,0.20409,-0.16375
-0.1359,0.22055,-0.32988
-0.15834,-0.060068,-0.67508
-0.14238,0.10602,-0.32795
2.9346,-13.064,-1.1792
-0.1717,0.27991,0.19345
-0.23935,0.38465,2.3418
-0.10088,-0.045572,-0.2878
-0.10679,-0.051282,-0.53975
-0.12733,0.15504,-0.14493
-0.127,0.2759,0.31879
0.43282,-0.49867,-1.0877
-0.1025,0.11476,-0.29245
-0.10484,0.11953,-0.66063
-0.16926,0.26142,0.59516
-0.22312,0.26641,-0.18682
-0.21687,0.22977,-0.12479
-0.090143,0.38363,1.0151
-0.1043,0.016795,-0.36109
-0.18052,0.30137,0.28548
-0.095976,0.028167,-0.0063008
-0.19861,0.23673,0.023675
-0.16484,0.35248,1.0162
-0.073587,-0.03843,-0.62422
-0.087416,0.13695,0.047267
-0.15064,0.12732,-0.19957
-0.1825,0.34345,0.23159
-0.16158,0.28538,0.20632
-0.20188,0.30852,0.41933
-0.22348,0.27368,0.38016
-0.11591,0.30293,0.34301
-0.056839,-0.090484,-0.81089
-0.18326,0.26726,-0.09039
-0.16836,0.2225,0.12431
-0.10395,0.13309,-0.42927
-0.17748,-0.19265,-0.85848
-0.19987,0.11219,-0.33571
0.010561,0.17307,-0.23426
-0.098185,0.10557,-0.31548
-0.049765,0.17819,-0.10978
-0.12916,0.14774,-0.21807
0.25434,-6.0153,-1.0298
-0.1161,0.2444,0.58114
-0.10364,0.21014,-0.32903
-0.11115,0.12646,-0.39922
-0.17675,-0.031246,-0.56776
-0.21383,0.24414,-0.049586
-0.028528,-0.011228,-0.56608
-0.16742,0.10655,-0.34832
-0.11541,0.10328,-0.45793
-0.11926,-0.025277,-0.65293
-0.20679,0.34751,0.94595
0.20425,-0.063353,-0.72289
-0.20554,0.38705,1.019
-0.15994,0.34801,1.4718
-0.077686,0.31377,0.71023
-0.22989,0.34185,0.87339
-0.058131,-0.099993,-0.57287
-0.12579,0.42284,1.4088
0.070238,0.055331,-0.35286
-0.10083,0.24889,0.21491
-0.15189,0.39493,2.4047
-0.17616,0.22722,0.084599
4.3102,-1.6599,-0.90224
-0.075489,0.1271,-0.38258
0.035432,0.042293,-0.6161
-0.091324,0.031105,-0.45472
-0.16644,0.21331,-0.29264
-0.16091,0.18369,-0.34529
-0.045842,0.056187,-0.52865
-0.065582,-0.010665,-0.62337
-0.20457,0.2395,0.30765
-0.05918,0.056785,-0.50151
-0.14335,-0.29712,-0.87002
-0.19289,0.32398,0.095051
0.0086577,0.079262,-0.57101
-0.14702,0.26829,1.0228
-0.13937,0.20535,-0.21097
-0.1557,0.27847,0.039101
0.0525,-0.16004,-0.83581
-0.10611,-0.012401,-0.3846
-0.11433,0.13045,-0.40475
-0.019833,0.10538,-0.2904
-0.12377,0.088057,-0.55972
-0.13683,0.12017,-0.36113
-0.18737,0.18537,0.5484
-0.1404,0.40043,1.2549
-0.056209,0.14064,-0.24942
-0.051158,-0.017809,-0.42937
-0.10548,0.08937,-0.24873
0.10232,-2.4585,-0.97283
-0.098743,0.095868,-0.54923
-0.11553,-0.10673,-0.63988
-0.16642,0.31271,0.27187
-0.18013,0.34006,0.38053
-0.15801,0.40123,1.8078
-0.094962,0.15765,-0.275
-0.14459,0.060932,-0.33823
