wdr,dissim,leven,is_bot
-0.11017,0.19708,-0.11158,0
0.064657,-0.29782,-0.69626,0
-0.22214,0.0094594,-0.53606,0
-0.25015,0.43365,0.1634,0
-0.021483,0.0042932,-0.15942,0
-0.13063,0.64205,1.1113,0
-0.062157,-0.11187,-0.6784,0
-0.0041847,-0.29832,-0.69524,0
0.6103,-3.8743,-1.1057,0
0.051989,-0.047569,-0.43081,0
-0.22471,0.43517,0.81562,0
0.036449,0.043182,-0.17426,0
-0.17843,0.61421,1.6025,0
0.0050413,0.27221,0.18123,0
0.26956,-0.66536,-1.0583,0
-0.18162,0.19922,-0.12347,0
-0.10845,-0.59891,-1.0251,0
0.31174,0.17665,-0.090444,0
-0.066324,0.15418,-0.37903,0
-0.1993,0.081893,1.0515,0
-0.022394,-0.061461,-0.649,0
-0.010706,0.37348,0.58383,0
-0.093339,0.0023666,-0.4579,0
-0.039795,-0.16349,-0.66506,0
-0.06917,-0.44993,-0.90957,0
-0.078333,0.31137,0.31812,0
0.21674,0.23634,-0.096717,0
-0.23354,-0.012733,-0.29878,0
-0.22663,0.32196,0.55244,0
-0.16126,0.29703,-0.02756,0
0.37263,-0.55878,-0.82901,0
0.016237,0.096363,-0.37284,0
0.33826,-1.479,-0.79212,0
-0.034951,0.099209,0.39445,0
-0.019134,0.20203,0.15837,0
-0.17883,0.13745,0.36614,0
-0.05285,0.050014,-0.52902,0
0.86464,-0.9158,-1.1176,0
-0.16571,0.70528,1.4967,0
0.30095,-0.52031,-0.70489,0
0.10444,0.31704,0.18506,0
0.061679,-0.57939,-0.91076,0
-0.13955,0.64006,1.8055,0
-0.15908,0.26109,-0.19534,0
-0.27296,0.30661,-0.32242,0
-0.10098,0.32388,0.2049,0
-0.03686,-0.32566,-0.55702,0
-0.029296,0.010912,-0.60448,0
-0.16976,0.48095,1.9644,0
-0.092474,0.6824,2.406,0
-0.025985,-0.80061,-1.1154,0
-0.1144,-0.55226,-0.97989,0
-0.19878,-0.04383,-0.47929,0
-0.068765,0.36341,0.11922,0
-0.1253,0.51158,0.87898,0
0.20447,-0.21609,-0.67089,0
-0.22309,-0.12925,-0.44075,0
0.013878,0.45181,0.85827,0
0.083761,-0.59206,-0.76962,0
-0.17644,-0.25863,-0.80302,0
-0.13322,0.66694,2.0201,0
-0.013519,0.38805,0.42988,0
-0.17938,0.74391,1.4155,0
0.062449,-0.24043,-0.68859,0
-0.030011,-0.072319,-0.64601,0
-0.16768,0.32834,0.80665,0
-0.11165,0.29389,-0.20262,0
0.11725,-0.04158,-0.48007,0
-0.12962,0.20816,-0.025914,0
-0.20336,0.34159,-0.14441,0
0.11207,-0.20341,-0.67525,0
-0.0056862,-0.4551,-0.93187,0
-0.11508,0.23358,0.083615,0
-0.12263,-0.55263,-0.69379,0
-0.15254,0.55823,0.94197,0
0.19505,-0.53018,-0.9384,0
0.073985,-0.024902,-0.43764,0
-0.089965,-0.035186,-0.56666,0
0.047874,0.064576,-0.39233,0
-0.27918,0.25583,-0.01496,0
0.24616,-0.38406,-0.92463,0
-0.16455,0.065974,-0.64407,0
-0.18629,-0.71541,0.44735,0
-0.066571,0.067485,-0.35959,0
-0.20323,0.10611,-0.28668,0
-0.040608,0.49938,0.85275,0
0.34605,0.057668,-0.43683,0
-0.10353,0.32617,1.3557,0
-0.046077,0.616,1.1361,0
0.113,-0.42496,-0.90472,0
-0.064744,-0.43404,-0.81199,0
-0.16413,-0.14812,-0.64974,0
-0.0581,0.066961,-0.34676,0
0.035759,-0.41102,-0.89488,0
-0.247,0.14505,0.64725,0
0.27749,-0.17059,-0.66671,0
-0.1534,-0.11409,-0.44783,0
0.33956,-0.7024,-1.0541,0
-0.22403,0.62248,1.1759,0
-0.075222,0.69561,3.119,0
0.058605,-0.10117,-0.61677,0
0.09866,-0.56316,-1.0038,0
0.036287,-0.43607,-0.74055,0
